kappa,theta,sigma,price_euler1000,ci_euler1000,time_euler1000,price_euler30,ci_euler30,time_euler30,price_exact1000,ci_exact1000,time_exact1000,price_exact30,ci_exact30,time_exact30,price_ae1000,ci_ae1000,time_ae1000,price_ae30,ci_ae30,time_ae30
5.000,0.500,0.100,0.252059,0.002196,4.938,0.255627,0.002169,0.197,0.253448,0.002197,232.210,0.255752,0.002227,17.466,0.250769,0.002192,233.763,0.163308,0.001688,17.831
5.000,0.500,0.300,0.254739,0.002266,5.556,0.259787,0.002288,0.224,0.256621,0.002303,253.320,0.256461,0.002291,16.157,0.251960,0.002265,257.271,0.219413,0.002073,16.612
5.000,0.500,0.500,0.257084,0.002382,5.300,0.255932,0.002311,0.203,0.265966,0.002396,642.060,0.255968,0.002382,13.891,0.265429,0.002397,637.830,0.232739,0.002205,13.911
5.000,0.500,0.700,0.256827,0.002454,4.938,0.259818,0.002411,0.188,0.270378,0.002557,535.478,0.257323,0.002470,8.769,0.271789,0.002556,529.928,0.238305,0.002335,8.692
5.000,0.500,1.000,0.255709,0.002649,4.944,0.260116,0.002545,0.188,0.262757,0.002716,526.541,0.256400,0.002618,4.581,0.266087,0.002682,515.913,0.243082,0.002516,4.455
10.000,0.050,0.100,0.093465,0.000612,4.940,0.093512,0.000609,0.188,0.093448,0.000613,231.983,0.094175,0.000614,17.435,0.094579,0.000615,234.670,0.119982,0.000698,17.910
10.000,0.050,0.300,0.093238,0.000630,5.430,0.093843,0.000631,0.211,0.096881,0.000645,524.478,0.094943,0.000636,4.446,0.096992,0.000645,517.372,0.101414,0.000659,4.332
10.000,0.050,0.500,0.093188,0.000647,4.945,0.094071,0.000651,0.192,0.093787,0.000652,521.175,0.093387,0.000650,4.355,0.094254,0.000655,515.277,0.098241,0.000667,4.208
10.000,0.050,0.700,0.092693,0.000667,4.942,0.094516,0.000673,0.199,0.093470,0.000671,513.934,0.093541,0.000673,4.315,0.093540,0.000674,515.028,0.097170,0.000688,4.210
10.000,0.050,1.000,0.092379,0.000703,5.033,0.096772,0.000724,0.212,0.092402,0.000701,476.537,0.092334,0.000703,4.309,0.092900,0.000705,479.704,0.095065,0.000708,4.258
